FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,B08122_001,B08122_002,B08122_003,B08122_004,B08122_005,B08122_006,B08122_007,B08122_008,B08122_009,B08122_010,B08122_011,B08122_012,B08122_013,B08122_014,B08122_015,B08122_016,B08122_017,B08122_018,B08122_019,B08122_020,B08122_021,B08122_022,B08122_023,B08122_024,B08122_025,B08122_026,B08122_027,B08122_028
ACSSF,20160,us,0,32,824,328211,57635,44672,225904,267365,40386,34863,192116,26738,5154,3685,17899,1412,276,724,412,4201,1322,818,2061,11956,4778,2216,4962,16539,5719,2366,8454
ACSSF,20160,us,0,32,825,125105,10803,13734,100568,95950,7698,9956,78296,12409,1162,1852,9395,446,48,48,350,3168,769,318,2081,3776,476,624,2676,9356,650,936,7770
ACSSF,20160,us,0,32,826,610681,48087,42599,519995,509018,32195,33783,443040,60077,9756,5854,44467,6625,1588,814,4223,6560,1100,384,5076,6971,913,1331,4727,21430,2535,433,18462
ACSSF,20160,us,0,32,827,3116845,216588,264371,2635886,2428833,141089,192405,2095339,293030,28115,31024,233891,108768,20719,15611,72438,48017,8171,6425,33421,64006,9172,6501,48333,174191,9322,12405,152464
ACSSF,20160,us,0,32,828,151679,9140,8748,133791,125516,6691,7027,111798,18484,1308,1259,15917,491,269,10,212,2413,570,269,1574,1025,58,77,890,3750,244,106,3400
ACSSF,20160,us,0,32,829,1000621,65010,51126,884485,813164,42412,35366,735386,83789,8783,8042,66964,28696,5308,2662,20726,23867,4822,2096,16949,11637,1259,955,9423,39468,2426,2005,35037
ACSSF,20160,us,0,32,830,2064081,89082,91737,1883262,1616015,52619,61309,1502087,167070,11358,13196,142516,90194,10135,7567,72492,42660,7262,4124,31274,33360,3385,1801,28174,114782,4323,3740,106719
ACSSF,20160,us,0,32,831,260234,18076,15352,226806,220581,15022,12885,192674,17142,1493,1060,14589,1557,588,330,639,2469,318,323,1828,3724,212,333,3179,14761,443,421,13897
ACSSF,20160,us,0,32,832,314042,21928,32258,259856,250474,15111,23771,211592,31555,2969,3773,24813,4089,570,1050,2469,6502,1032,704,4766,7441,1138,1250,5053,13981,1108,1710,11163
ACSSF,20160,us,0,32,833,99449,13048,9703,76698,84764,10630,7268,66866,9931,1411,1799,6721,1311,265,414,632,1067,436,8,623,808,63,71,674,1568,243,143,1182
ACSSF,20160,us,0,32,834,85929,8328,6023,71578,65985,5310,3947,56728,8485,889,572,7024,1654,397,191,1066,4497,1250,487,2760,828,33,234,561,4480,449,592,3439
ACSSF,20160,us,0,32,835,45359,3968,4770,36621,29235,2381,1785,25069,7399,942,1357,5100,406,0,0,406,2376,398,196,1782,1577,91,328,1158,4366,156,1104,3106
ACSSF,20160,us,0,32,836,45240,7055,4237,33948,36723,4899,3283,28541,3484,477,297,2710,186,56,0,130,1729,770,327,632,1035,443,123,469,2083,410,207,1466
ACSSF,20160,us,0,32,837,212168,16768,18038,177362,175972,12651,13233,150088,16422,2242,2533,11647,656,167,35,454,4608,801,1333,2474,3129,485,691,1953,11381,422,213,10746
ACSSF,20160,us,0,32,838,981350,53612,56917,870821,807397,40477,45253,721667,84850,6569,6625,71656,8665,1213,984,6468,10355,1076,1465,7814,11501,819,883,9799,58582,3458,1707,53417
ACSSF,20160,us,0,32,839,78454,5494,6259,66701,64997,4298,4609,56090,6907,653,773,5481,165,0,19,146,779,218,48,513,2212,302,731,1179,3394,23,79,3292
ACSSF,20160,us,0,32,840,669104,52433,45796,570875,523706,33460,30104,460142,74080,7832,8559,57689,15419,3541,2791,9087,11936,3239,1562,7135,16521,2410,1952,12159,27442,1951,828,24663
ACSSF,20160,us,0,32,841,11311739,606996,571825,10132918,6080933,196610,218815,5665508,783058,54310,55094,673654,3115062,227952,205780,2681330,589238,76433,54120,458685,222776,19025,16779,186972,520672,32666,21237,466769
ACSSF,20160,us,0,32,842,386120,23932,28620,333568,309335,16402,22416,270517,34295,3246,2847,28202,3560,974,584,2002,4162,406,779,2977,6145,660,647,4838,28623,2244,1347,25032
ACSSF,20160,us,0,32,843,667128,50519,51114,565495,557422,36230,40223,480969,61434,7965,6041,47428,2739,790,860,1089,7562,1242,832,5488,10918,1581,1619,7718,27053,2711,1539,22803
ACSSF,20160,us,0,32,844,489375,22320,25092,441963,414552,16910,19731,377911,38814,3296,2908,32610,3869,213,694,2962,6050,724,278,5048,6661,378,703,5580,19429,799,778,17852
ACSSF,20160,us,0,32,845,1432994,100720,118513,1213761,1154267,72842,91962,989463,123973,10231,12777,100965,24702,5546,3571,15585,15641,2693,2282,10666,27072,3975,2550,20547,87339,5433,5371,76535
ACSSF,20160,us,0,32,846,58201,6094,4382,47725,49090,4065,3800,41225,3757,502,435,2820,375,8,0,367,1043,289,64,690,1039,662,75,302,2897,568,8,2321
ACSSF,20160,us,0,32,847,62904,3782,4543,54579,52332,2608,3302,46422,5691,740,571,4380,416,148,49,219,1875,147,254,1474,428,139,42,247,2162,0,325,1837
ACSSF,20160,us,0,32,848,217726,14921,13727,189078,175471,10259,10464,154748,23497,2286,1869,19342,1184,672,0,512,1843,677,235,931,3675,393,483,2799,12056,634,676,10746
ACSSF,20160,us,0,32,849,185868,9576,11382,164910,158317,6740,9676,141901,13521,960,468,12093,2153,372,332,1449,3101,645,572,1884,2343,279,226,1838,6433,580,108,5745
ACSSF,20160,us,0,32,850,3373365,175965,152222,3045178,2494647,94249,91435,2308963,270041,20614,18218,231209,279968,30896,21942,227130,108514,16356,9461,82697,58484,5689,5714,47081,161711,8161,5452,148098
ACSSF,20160,us,0,32,851,1245615,61309,59771,1124535,966911,34644,40227,892040,102259,7913,6493,87853,67607,7637,5765,54205,36084,6698,3376,26010,14637,1828,1413,11396,58117,2589,2497,53031
ACSSF,20160,us,0,32,852,326319,14788,13964,297567,260567,9571,9153,241843,27081,1182,1952,23947,3501,880,238,2383,11827,1596,1793,8438,4358,527,282,3549,18985,1032,546,17407
ACSSF,20160,us,0,32,853,1522505,95942,85053,1341510,1101598,56363,53634,991601,144294,10821,13415,120058,81695,8894,6906,65895,47374,8319,4622,34433,48008,5154,2874,39980,99536,6391,3602,89543
ACSSF,20160,us,0,32,854,80929,7749,5300,67880,66728,6278,4376,56074,8806,1046,376,7384,976,134,335,507,836,95,0,741,1180,118,0,1062,2403,78,213,2112
ACSSF,20160,us,0,32,855,40494,7343,3633,29518,28961,4910,2214,21837,3962,240,375,3347,1196,610,117,469,3962,1231,708,2023,1377,289,169,919,1036,63,50,923
ACSSF,20160,us,0,32,856,54752,2934,3387,48431,46841,2294,2828,41719,3340,210,375,2755,20,0,0,20,823,28,184,611,267,8,0,259,3461,394,0,3067
ACSSF,20160,us,0,32,857,1056297,65789,60879,929629,846442,44493,45576,756373,89362,10059,7712,71591,20634,3116,3204,14314,13752,1467,800,11485,14538,2247,1043,11248,71569,4407,2544,64618
ACSSF,20160,us,0,32,858,83253,5122,6175,71956,66807,3034,5144,58629,7492,514,111,6867,152,0,0,152,2428,885,117,1426,1168,167,474,527,5206,522,329,4355
ACSSF,20160,us,0,32,859,91952,8409,10247,73296,77583,6419,8135,63029,5808,802,877,4129,442,22,110,310,2083,517,84,1482,1373,247,299,827,4663,402,742,3519
ACSSF,20160,us,0,32,860,290158,16890,22330,250938,228962,10941,16066,201955,29920,2618,2270,25032,5180,838,1692,2650,7312,1464,1337,4511,4959,581,31,4347,13825,448,934,12443
ACSSF,20160,us,0,32,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,20160,us,0,32,862,130849,6848,6110,117891,97813,3661,4000,90152,14946,1383,1030,12533,4607,277,286,4044,5113,508,396,4209,1951,348,17,1586,6419,671,381,5367
ACSSF,20160,us,0,32,863,548738,30673,27112,490953,448793,19701,19206,409886,44481,3709,2963,37809,13043,2595,1468,8980,13610,2614,2011,8985,6750,925,753,5072,22061,1129,711,20221
ACSSF,20160,us,0,32,864,200088,15115,13831,171142,161662,10315,9757,141590,22572,3047,3075,16450,1886,593,48,1245,3009,489,217,2303,2574,328,118,2128,8385,343,616,7426
ACSSF,20160,us,0,32,865,122792,12368,10332,100092,101354,9053,7381,84920,12609,2164,1483,8962,441,54,81,306,1667,224,283,1160,4369,596,956,2817,2352,277,148,1927
ACSSF,20160,us,0,32,866,49170,2451,3849,42870,41466,1843,2767,36856,4688,557,395,3736,405,43,51,311,228,8,0,220,238,0,0,238,2145,0,636,1509
ACSSF,20160,us,0,32,867,1126364,72802,70771,982791,866441,49187,50674,766580,108004,8186,8231,91587,22457,2464,1328,18665,21261,3278,2559,15424,28712,3714,3388,21610,79489,5973,4591,68925
ACSSF,20160,us,0,32,868,166132,13783,11724,140625,141342,10423,9435,121484,14264,1849,1383,11032,812,241,126,445,1960,498,90,1372,1564,38,215,1311,6190,734,475,4981
ACSSF,20160,us,0,32,869,1405951,78014,70669,1257268,1164907,53961,51461,1059485,101875,8825,7930,85120,36226,8344,5236,22646,21375,3055,2532,15788,14518,1768,1191,11559,67050,2061,2319,62670
ACSSF,20160,us,0,32,870,1203657,69897,72548,1061212,915253,42283,52117,820853,130319,8462,9431,112426,36377,4755,3395,28227,30397,8234,3186,18977,19442,1819,1681,15942,71869,4344,2738,64787
ACSSF,20160,us,0,32,871,4231333,197148,181804,3852381,2783573,111956,108675,2562942,443947,25650,26710,391587,458378,24874,18972,414532,142269,13110,10608,118551,143101,9375,6823,126903,260065,12183,10016,237866
ACSSF,20160,us,0,32,872,242128,21002,18912,202214,194017,14635,12647,166735,24449,2975,3489,17985,4280,877,1150,2253,4546,764,455,3327,4979,862,717,3400,9857,889,454,8514
ACSSF,20160,us,0,32,873,2311619,104572,94419,2112628,1614886,61177,61303,1492406,223997,11975,11016,201006,199376,12740,8936,177700,82475,7398,4685,70392,51121,3614,2019,45488,139764,7668,6460,125636
ACSSF,20160,us,0,32,874,89686,6295,4716,78675,73227,3797,3776,65654,8646,1396,479,6771,720,73,0,647,2230,494,222,1514,859,7,27,825,4004,528,212,3264
ACSSF,20160,us,0,32,875,321699,24706,21707,275286,263035,15461,16152,231422,32745,5381,3477,23887,3179,771,225,2183,6464,1511,681,4272,6074,1170,615,4289,10202,412,557,9233
ACSSF,20160,us,0,32,876,311508,21159,22573,267776,245565,15125,16330,214110,30773,2427,2207,26139,5860,640,1153,4067,6271,1515,1028,3728,5655,533,786,4336,17384,919,1069,15396
ACSSF,20160,us,0,32,877,243730,21118,22355,200257,197175,15674,17232,164269,26300,2720,3063,20517,908,175,291,442,3084,1025,282,1777,3542,820,693,2029,12721,704,794,11223
ACSSF,20160,us,0,32,878,324823,15573,18030,291220,259238,9735,11515,237988,28332,2112,2643,23577,6291,1285,1260,3746,9642,1295,1392,6955,5805,184,463,5158,15515,962,757,13796
ACSSF,20160,us,0,32,879,140197,8700,9908,121589,115518,5839,7707,101972,12166,1004,1210,9952,1696,604,343,749,2379,727,57,1595,2062,181,306,1575,6376,345,285,5746
ACSSF,20160,us,0,32,880,105095,8904,5014,91177,77731,4410,3821,69500,10307,1134,596,8577,3263,668,0,2595,5890,1850,409,3631,3218,748,123,2347,4686,94,65,4527
ACSSF,20160,us,0,32,881,337508,19797,17355,300356,273938,12919,11935,249084,29361,1850,1888,25623,6947,1745,1243,3959,10859,2061,1477,7321,3242,424,533,2285,13161,798,279,12084
ACSSF,20160,us,0,32,882,186518,17828,15812,152878,150561,14340,12418,123803,21721,1729,1407,18585,1642,545,264,833,2690,409,359,1922,3954,679,568,2707,5950,126,796,5028
ACSSF,20160,us,0,32,883,300332,28452,21809,250071,256499,20311,17064,219124,20201,2858,1945,15398,3796,1223,751,1822,7103,2341,1747,3015,3655,830,160,2665,9078,889,142,8047
ACSSF,20160,us,0,32,884,445052,46637,37331,361084,342749,30270,25512,286967,45707,6538,6073,33096,10993,3348,1645,6000,7145,1822,833,4490,13918,2311,1342,10265,24540,2348,1926,20266
ACSSF,20160,us,0,32,885,516785,35442,35759,445584,428427,25363,27700,375364,50298,5555,4625,40118,2438,626,572,1240,5401,999,888,3514,7931,1355,966,5610,22290,1544,1008,19738
ACSSF,20160,us,0,32,886,113302,9064,9755,94483,90676,6477,7972,76227,15331,2279,1173,11879,219,0,174,45,1350,135,60,1155,825,36,0,789,4901,137,376,4388
ACSSF,20160,us,0,32,887,56376,4152,3331,48893,43160,2132,2207,38821,7763,1401,551,5811,456,52,162,242,1175,278,79,818,982,112,205,665,2840,177,127,2536
ACSSF,20160,us,0,32,888,875125,50595,45953,778577,713940,33199,31166,649575,80788,7490,8012,65286,15187,3535,2396,9256,15726,2697,1834,11195,16505,2281,914,13310,32979,1393,1631,29955
